model1,model2,samples_per_group,total_samples,n,p
cnn,lstm,500,1000,50,0.0196078431372549
cnn,han,500,1000,50,0.0196078431372549
lstm,han,500,1000,50,0.0784313725490196
cnn,lstm,1000,2000,100,0.009900990099009901
cnn,han,1000,2000,100,0.009900990099009901
lstm,han,1000,2000,100,0.13861386138613863
cnn,lstm,1500,3000,150,0.006622516556291391
cnn,han,1500,3000,150,0.006622516556291391
lstm,han,1500,3000,150,0.2913907284768212
cnn,lstm,2000,4000,200,0.004975124378109453
cnn,han,2000,4000,200,0.004975124378109453
lstm,han,2000,4000,200,0.38308457711442784
